LoanID,Age,Gender,Income,EmploymentType,CreditScore,LoanAmount,LoanTerm,InterestRate,ExistingDebts,PropertyOwnership,MaritalStatus,NumDependents,LoanPurpose,PreviousDefaults,MissedPayments,DebtToIncomeRatio,DefaultStatus
1001,34,Male,52000,Salaried,720,150000,120,7.5,2,Owned,Married,1,HomeLoan,0,0,0.32,No
1002,28,Female,38000,Self-Employed,610,80000,60,11.2,3,Rented,Single,0,PersonalLoan,1,2,0.51,Yes
1003,45,Male,75000,Salaried,780,250000,180,6.8,1,Owned,Married,2,HomeLoan,0,0,0.28,No
1004,31,Female,42000,Salaried,650,90000,48,9.5,4,Rented,Single,1,AutoLoan,0,1,0.46,No
1005,52,Male,95000,Salaried,810,300000,240,6.2,0,Owned,Married,3,HomeLoan,0,0,0.22,No
1006,27,Female,30000,Self-Employed,580,50000,36,13.5,5,Rented,Single,0,PersonalLoan,2,4,0.67,Yes
1007,40,Male,60000,Salaried,700,120000,84,8.1,2,Owned,Married,2,AutoLoan,0,0,0.35,No
1008,35,Female,47000,Salaried,670,100000,60,9.0,3,Rented,Single,1,PersonalLoan,0,1,0.44,No
1009,29,Male,25000,Unemployed,540,40000,24,16.0,6,Rented,Single,0,PersonalLoan,3,6,0.78,Yes
1010,48,Female,82000,Salaried,760,200000,120,7.2,1,Owned,Married,2,HomeLoan,0,0,0.29,No
1011,33,Male,43000,Self-Employed,620,70000,48,11.8,3,Rented,Single,1,AutoLoan,1,2,0.53,Yes
1012,55,Female,110000,Salaried,830,350000,240,5.9,0,Owned,Married,1,HomeLoan,0,0,0.18,No
1013,26,Male,28000,Salaried,590,45000,36,14.2,4,Rented,Single,0,PersonalLoan,1,3,0.65,Yes
1014,39,Female,65000,Salaried,730,160000,120,7.8,2,Owned,Married,3,HomeLoan,0,0,0.33,No
1015,31,Male,37000,Self-Employed,600,60000,48,12.5,4,Rented,Single,1,AutoLoan,1,2,0.58,Yes
1016,44,Female,78000,Salaried,770,220000,180,6.9,1,Owned,Married,2,HomeLoan,0,0,0.26,No
1017,28,Male,32000,Salaried,615,55000,36,12.0,3,Rented,Single,0,PersonalLoan,0,1,0.49,No
1018,36,Female,55000,Salaried,690,130000,84,8.5,2,Owned,Married,1,AutoLoan,0,0,0.37,No
1019,50,Male,88000,Self-Employed,750,280000,180,7.0,1,Owned,Married,3,HomeLoan,0,0,0.24,No
1020,23,Female,22000,Unemployed,520,30000,24,17.5,7,Rented,Single,0,PersonalLoan,2,5,0.82,Yes
1021,42,Male,70000,Salaried,740,180000,120,7.6,1,Owned,Married,2,HomeLoan,0,0,0.31,No
1022,30,Female,40000,Self-Employed,630,75000,60,11.0,3,Rented,Single,1,PersonalLoan,1,1,0.52,Yes
1023,57,Male,120000,Salaried,850,400000,300,5.5,0,Owned,Married,0,HomeLoan,0,0,0.15,No
1024,25,Female,27000,Salaried,575,42000,36,15.0,5,Rented,Single,0,PersonalLoan,1,3,0.70,Yes
1025,46,Male,83000,Salaried,765,240000,180,7.1,1,Owned,Married,2,HomeLoan,0,0,0.27,No
1026,32,Female,45000,Salaried,660,95000,60,9.8,3,Rented,Single,1,AutoLoan,0,1,0.45,No
1027,38,Male,58000,Self-Employed,705,140000,84,8.3,2,Owned,Married,1,AutoLoan,0,0,0.36,No
1028,22,Female,20000,Unemployed,500,25000,24,18.5,8,Rented,Single,0,PersonalLoan,3,7,0.88,Yes
1029,53,Male,100000,Salaried,820,320000,240,6.0,0,Owned,Married,2,HomeLoan,0,0,0.20,No
1030,29,Female,35000,Salaried,640,65000,48,10.5,4,Rented,Single,1,PersonalLoan,0,2,0.50,No
1031,41,Male,68000,Salaried,725,170000,120,7.7,2,Owned,Married,3,HomeLoan,0,0,0.34,No
1032,34,Female,49000,Self-Employed,645,85000,60,10.8,3,Rented,Single,0,AutoLoan,1,2,0.48,Yes
1033,27,Male,31000,Salaried,595,52000,36,13.8,4,Rented,Single,0,PersonalLoan,1,3,0.62,Yes
1034,49,Female,90000,Salaried,800,290000,240,6.5,1,Owned,Married,1,HomeLoan,0,0,0.23,No
1035,37,Male,62000,Salaried,715,155000,120,7.9,2,Owned,Married,2,HomeLoan,0,0,0.35,No
1036,26,Female,29000,Self-Employed,570,48000,36,14.8,5,Rented,Single,0,PersonalLoan,2,4,0.72,Yes
1037,43,Male,73000,Salaried,755,210000,180,7.0,1,Owned,Married,2,HomeLoan,0,0,0.28,No
1038,31,Female,41000,Salaried,635,78000,48,10.2,3,Rented,Single,1,AutoLoan,0,1,0.47,No
1039,24,Male,23000,Unemployed,510,32000,24,17.0,7,Rented,Single,0,PersonalLoan,2,5,0.80,Yes
1040,56,Female,115000,Salaried,840,380000,300,5.7,0,Owned,Married,1,HomeLoan,0,0,0.16,No
1041,33,Male,46000,Self-Employed,655,92000,60,10.5,3,Rented,Single,1,PersonalLoan,1,2,0.49,Yes
1042,47,Female,85000,Salaried,775,260000,180,6.8,1,Owned,Married,2,HomeLoan,0,0,0.25,No
1043,28,Male,33000,Salaried,605,58000,36,12.8,4,Rented,Single,0,AutoLoan,0,2,0.55,No
1044,39,Female,63000,Salaried,720,165000,120,7.8,2,Owned,Married,3,HomeLoan,0,0,0.36,No
1045,30,Male,38000,Self-Employed,625,72000,48,11.5,3,Rented,Single,1,PersonalLoan,1,2,0.54,Yes
1046,51,Female,95000,Salaried,815,310000,240,6.1,0,Owned,Married,2,HomeLoan,0,0,0.21,No
1047,25,Male,26000,Salaried,565,40000,36,15.5,6,Rented,Single,0,PersonalLoan,2,4,0.74,Yes
1048,44,Female,76000,Salaried,760,230000,180,7.0,1,Owned,Married,1,HomeLoan,0,0,0.27,No
1049,35,Male,53000,Salaried,695,125000,84,8.2,2,Owned,Married,2,AutoLoan,0,0,0.38,No
1050,29,Female,34000,Self-Employed,615,62000,48,12.2,4,Rented,Single,1,PersonalLoan,1,3,0.57,Yes
